2025-11-29 21:51:43 | DEBUG    | logging_config.py:95 | setup_logging() | ══════════════════════════════════════════════════════════════════════
2025-11-29 21:51:43 | DEBUG    | logging_config.py:96 | setup_logging() | Логирование инициализировано в 2025-11-29 21:51:43
2025-11-29 21:51:43 | DEBUG    | logging_config.py:97 | setup_logging() | Файл логов: C:\Users\vracksup\Documents\LAB-PPT\LAB-1\ImageProcessing\app.log
2025-11-29 21:51:43 | DEBUG    | logging_config.py:98 | setup_logging() | Уровень файлового логирования: DEBUG
2025-11-29 21:51:43 | DEBUG    | logging_config.py:99 | setup_logging() | Уровень консольного логирования: INFO
2025-11-29 21:51:43 | DEBUG    | logging_config.py:100 | setup_logging() | ══════════════════════════════════════════════════════════════════════
2025-11-29 21:51:43 | INFO     | tests.py:373 | setUp() | ──────────────────────────────────────────────────────────────────────
2025-11-29 21:51:43 | INFO     | tests.py:374 | setUp() | Запуск теста: test_rgb_to_grayscale_processor
2025-11-29 21:51:43 | DEBUG    | tests.py:397 | test_rgb_to_grayscale_processor() | Начало теста: ImageProcessing.rgb_to_grayscale()
2025-11-29 21:51:43 | DEBUG    | tests.py:404 | test_rgb_to_grayscale_processor() | ✓ Размеры: (100, 100)
2025-11-29 21:51:43 | DEBUG    | tests.py:408 | test_rgb_to_grayscale_processor() | ✓ Диапазон значений: [0, 255]
2025-11-29 21:51:43 | DEBUG    | tests.py:412 | test_rgb_to_grayscale_processor() | ✓ Тип данных: uint8
2025-11-29 21:51:43 | INFO     | tests.py:381 | tearDown() | Завершен тест: test_rgb_to_grayscale_processor
2025-11-29 21:51:43 | INFO     | tests.py:382 | tearDown() | ──────────────────────────────────────────────────────────────────────
